category,title,description,date_time,location
conference,Challenge day presentation,Presentation of ai house websites projects,2026-03-11 | 09:00,Student Contribution
workshop,Git/Github Learning Workshop,An entry workshop to cover the basics of Git & Github to students,2026-03-28 | 08:30,Student Contribution
networking,Tech Talk: Future of Artificial Intelligence,"To explore the future of artificial intelligence and discuss its impact on technology, society, and innovation.",2026-03-18 | 09:30,Student Contribution
